name,Sex,Team,Sport,Medal,Medal_Count
Yevgeny Romanovich Grishin,M,Soviet Union,Speed Skating,Gold,4
Adolf Dirk Coenraad van der Voort van Zijp,M,Netherlands,Equestrianism,Gold,3
"Adrie ""Ard"" Schenk",M,Netherlands,Speed Skating,Gold,3
Agneta Monica Andersson,F,Sweden,Canoeing,Gold,3
Agostino Abbagnale,M,Italy,Rowing,Gold,3
Albert Azaryan,M,Soviet Union,Gymnastics,Gold,3
Alberto Tomba,M,Italy,Alpine Skiing,Gold,3
Aldo Nadi,M,Italy,Fencing,Gold,3
Alejandrina Mireya Luis Hernndez,F,Cuba,Volleyball,Gold,3
Aleksandr Nikolayevich Dityatin,M,Soviet Union,Gymnastics,Gold,3
Aleksandr Pavlovich Ragulin,M,Soviet Union,Ice Hockey,Gold,3
Aleksandr Vasilyevich Medved,M,Soviet Union,Wrestling,Gold,3
Aleksandra Ivanovna Zabelina,F,Soviet Union,Fencing,Gold,3
"Alexandra Rose ""Aly"" Raisman",F,United States,Gymnastics,Gold,3
Alfred Flatow,M,Germany,Gymnastics,Gold,3
"Alfred Gomer Albert ""Alf"" Swahn",M,Sweden,Shooting,Gold,3
"Ambrose ""Rowdy"" Gaines, IV",M,United States,Swimming,Gold,3
Anatoly Vasilyevich Firsov,M,Soviet Union,Ice Hockey,Gold,3
Andr Lange,M,Germany-1,Bobsleigh,Gold,3
Andrea Pollack (-Pinske),F,East Germany,Swimming,Gold,3
Andreas Dittmer,M,Germany,Canoeing,Gold,3
"Andrew ""Andy"" Triggs Hodge",M,Great Britain,Rowing,Gold,3
Andrew James Hoy,M,Australia,Equestrianism,Gold,3
Andrs Balcz,M,Hungary,Modern Pentathlon,Gold,3
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",F,United States,Swimming,Gold,3
"Angelo F. Taylor, Jr.",M,United States,Athletics,Gold,3
"Anna Christine ""Anni"" Friesinger-Postma",F,Germany,Speed Skating,Gold,3
Anthony Lee Ervin,M,United States,Swimming,Gold,3
"Anton Engelbert ""Toni"" Sailer",M,Austria,Alpine Skiing,Gold,3
Antonio Rossi,M,Italy,Canoeing,Gold,3
Artur Borisovich Taymazov,M,Uzbekistan,Wrestling,Gold,3
Ashley Tara Tappin (-Doussan),F,United States,Swimming,Gold,3
"Balbir Singh Dosanjh, Sr.",M,India,Hockey,Gold,3
Barbara Krause (-Wanja),F,East Germany,Swimming,Gold,3
Birgit Fischer-Schmidt,F,East Germany,Canoeing,Gold,3
Bobby Joe Morrow,M,United States,Athletics,Gold,3
Botond Storcz,M,Hungary,Canoeing,Gold,3
Brendan Joseph Hansen,M,United States,Swimming,Gold,3
Brooke Marie Bennett (-Frioud),F,United States,Swimming,Gold,3
Buvaysar Khamidovich Saytiyev,M,Russia,Wrestling,Gold,3
Caren Metschuck (-Mahn),F,East Germany,Swimming,Gold,3
Carl Marcus Joakim Hellner,M,Sweden,Cross Country Skiing,Gold,3
Carl Oscar Westergren,M,Sweden,Wrestling,Gold,3
Carl Schuhmann,M,Germany,Gymnastics,Gold,3
Carmelo Kyan Anthony,M,United States,Basketball,Gold,3
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",F,United States,Swimming,Gold,3
"Charles Buchanan ""Charlie"" Hickcox",M,United States,Swimming,Gold,3
Charles Hamelin,M,Canada,Short Track Speed Skating,Gold,3
Charles Sydney Smith,M,Great Britain,Water Polo,Gold,3
"Charline ""Charlie"" Labont",F,Canada,Ice Hockey,Gold,3
Charlotte Susan Jane Dujardin,F,Great Britain,Equestrianism,Gold,3
Chen Yibing,M,China,Gymnastics,Gold,3
Cherie Piper,F,Canada,Ice Hockey,Gold,3
Christie Patricia Pearce-Rampone,F,United States,Football,Gold,3
Christopher Paul MacDonald,M,New Zealand,Canoeing,Gold,3
Colleen Sostorics,F,Canada,Ice Hockey,Gold,3
Constana Pipot-Burcic,F,Romania,Rowing,Gold,3
Csaba Fenyvesi,M,Hungary,Fencing,Gold,3
Ctlina Ponor,F,Romania,Gymnastics,Gold,3
Daniel Yves Morelon,M,France,Cycling,Gold,3
Dario Alonzo Cologna,M,Switzerland,Cross Country Skiing,Gold,3
Darya Vladimirovna Domracheva,F,Belarus,Biathlon,Gold,3
Dawn Michelle Staley,F,United States,Basketball,Gold,3
Deborah Compagnoni,F,Italy,Alpine Skiing,Gold,3
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",F,United States,Swimming,Gold,3
Delorez Florence Griffith Joyner,F,United States,Athletics,Gold,3
Dennis Fenton,M,United States,Shooting,Gold,3
Dezs Gyarmati,M,Hungary,Water Polo,Gold,3
Dhyan Chand Bais,M,India,Hockey,Gold,3
Ding Ning,F,China,Table Tennis,Gold,3
Dmitry Vladimirovich Bilozerchev,M,Soviet Union,Gymnastics,Gold,3
Donna Elizabeth de Varona (-Pinto),F,United States,Swimming,Gold,3
Drew Cameron Ginn,M,Australia,Rowing,Gold,3
Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,M,United States,Swimming,Gold,3
Edmond Cloetens,M,Belgium,Archery,Gold,3
Edmond Van Moer,M,Belgium,Archery,Gold,3
"Edward ""Ed"" Clancy",M,Great Britain,Cycling,Gold,3
Eero Antero Mntyranta,M,Finland,Cross Country Skiing,Gold,3
Eizo Kenmotsu,M,Japan,Gymnastics,Gold,3
"Eleanor ""Elle"" Logan",F,United States,Rowing,Gold,3
Elena Georgescu-Nedelcu,F,Romania,Rowing,Gold,3
Elvira Ramilevna Khasyanova,F,Russia,Synchronized Swimming,Gold,3
Endre Kabos,M,Hungary,Fencing,Gold,3
Eskild Balschmidt Ebbesen,M,Denmark,Rowing,Gold,3
Ethelda Marguerite Bleibtrey (-Schlatke),F,United States,Swimming,Gold,3
Felix Gottwald,M,Austria,Nordic Combined,Gold,3
Felix Loch,M,Germany,Luge,Gold,3
Flicia Michele Sylviane Ballanger (-Vetu),F,France,Cycling,Gold,3
Flix Savn Fabr,M,Cuba,Boxing,Gold,3
Florian Georges Philippe Rousseau,M,France,Cycling,Gold,3
Francesco Verri,M,Italy,Cycling,Gold,3
Franco Riccardi,M,Italy,Fencing,Gold,3
Frank Clifford Wykoff,M,United States,Athletics,Gold,3
G. Alberto Braglia,M,Italy,Gymnastics,Gold,3
Gabriella Timea Szab,F,Hungary,Canoeing,Gold,3
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,United States,Gymnastics,Gold,3
Galina Yevgenyevna Gorokhova,F,Soviet Union,Fencing,Gold,3
Georg Hackl,M,Germany,Luge,Gold,3
