,Team,Year,Medal,Medal_Count
0,A North American Team,1900,Bronze,4
1,Afghanistan,2008,Bronze,1
2,Afghanistan,2012,Bronze,1
3,Algeria,1984,Bronze,2
4,Algeria,1992,Bronze,1
5,Algeria,1992,Gold,1
6,Algeria,1996,Bronze,1
7,Algeria,1996,Gold,2
8,Algeria,2000,Bronze,3
9,Algeria,2000,Gold,1
10,Algeria,2000,Silver,1
11,Algeria,2008,Bronze,1
12,Algeria,2008,Silver,1
13,Algeria,2012,Gold,1
14,Algeria,2016,Silver,2
15,Ali-Baba II,1948,Bronze,5
16,Amateur Athletic Association,1900,Gold,5
17,Amstel Amsterdam,1908,Bronze,4
18,Ancora,1920,Gold,4
19,Angelita,1932,Gold,12
20,Antwerpia V,1920,Bronze,5
21,Aphrodite,1964,Bronze,3
22,Argentina,1924,Bronze,2
23,Argentina,1924,Gold,5
24,Argentina,1924,Silver,3
25,Argentina,1928,Bronze,5
26,Argentina,1928,Gold,3
27,Argentina,1928,Silver,18
28,Argentina,1932,Gold,3
29,Argentina,1932,Silver,1
30,Argentina,1936,Bronze,4
31,Argentina,1936,Gold,5
32,Argentina,1936,Silver,2
33,Argentina,1948,Bronze,1
34,Argentina,1948,Gold,3
35,Argentina,1948,Silver,2
36,Argentina,1952,Bronze,2
37,Argentina,1952,Gold,2
38,Argentina,1952,Silver,2
39,Argentina,1956,Bronze,1
40,Argentina,1956,Silver,1
41,Argentina,1960,Bronze,1
42,Argentina,1964,Silver,1
43,Argentina,1968,Bronze,2
44,Argentina,1972,Silver,1
45,Argentina,1988,Bronze,12
46,Argentina,1988,Silver,1
47,Argentina,1992,Bronze,2
48,Argentina,1996,Bronze,1
49,Argentina,1996,Silver,19
50,Argentina,2000,Bronze,3
51,Argentina,2000,Silver,17
52,Argentina,2004,Bronze,21
53,Argentina,2004,Gold,28
54,Argentina,2008,Bronze,31
55,Argentina,2008,Gold,20
56,Argentina,2012,Bronze,3
57,Argentina,2012,Gold,1
58,Argentina,2012,Silver,15
59,Argentina,2016,Gold,21
60,Argentina,2016,Silver,1
61,Argonaut Rowing Club,1908,Bronze,6
62,Armenia,1996,Gold,1
63,Armenia,1996,Silver,1
64,Armenia,2000,Bronze,1
65,Armenia,2008,Bronze,6
66,Armenia,2012,Bronze,2
67,Armenia,2012,Silver,1
68,Armenia,2016,Gold,1
69,Armenia,2016,Silver,3
70,Aschenbrodel,1900,Gold,4
71,Aschenbrodel,1900,Silver,4
72,Atalanta Boat Club-1,1904,Gold,2
73,Atalanta Boat Club-2,1904,Silver,2
74,Atlanta,1920,Gold,9
75,Australasia,1908,Bronze,2
76,Australasia,1908,Gold,15
77,Australasia,1908,Silver,2
78,Australasia,1912,Bronze,3
79,Australasia,1912,Gold,5
80,Australasia,1912,Silver,2
81,Australia,1896,Gold,2
82,Australia,1900,Bronze,3
83,Australia,1900,Gold,2
84,Australia,1904,Bronze,1
85,Australia,1904,Silver,3
86,Australia,1906,Bronze,3
87,Australia,1920,Bronze,1
88,Australia,1920,Silver,6
89,Australia,1924,Bronze,2
90,Australia,1924,Gold,4
91,Australia,1924,Silver,5
92,Australia,1928,Bronze,1
93,Australia,1928,Gold,1
94,Australia,1928,Silver,2
95,Australia,1932,Bronze,1
96,Australia,1932,Gold,3
97,Australia,1932,Silver,1
98,Australia,1936,Bronze,1
99,Australia,1948,Bronze,5
100,Australia,1948,Gold,2
101,Australia,1948,Silver,9
102,Australia,1952,Bronze,11
103,Australia,1952,Gold,7
104,Australia,1952,Silver,2
105,Australia,1956,Bronze,23
106,Australia,1956,Gold,28
107,Australia,1956,Silver,11
108,Australia,1960,Bronze,11
109,Australia,1960,Gold,11
110,Australia,1960,Silver,24
111,Australia,1964,Bronze,30
112,Australia,1964,Gold,5
113,Australia,1964,Silver,6
114,Australia,1968,Bronze,11
115,Australia,1968,Gold,5
116,Australia,1968,Silver,35
117,Australia,1972,Bronze,2
118,Australia,1972,Gold,11
119,Australia,1972,Silver,7
120,Australia,1976,Bronze,8
121,Australia,1976,Silver,15
122,Australia,1980,Bronze,5
123,Australia,1980,Gold,6
124,Australia,1980,Silver,2
125,Australia,1984,Bronze,31
126,Australia,1984,Gold,7
127,Australia,1984,Silver,14
128,Australia,1988,Bronze,11
129,Australia,1988,Gold,18
130,Australia,1988,Silver,6
131,Australia,1992,Bronze,16
132,Australia,1992,Gold,14
133,Australia,1992,Silver,27
134,Australia,1994,Bronze,4
135,Australia,1996,Bronze,82
136,Australia,1996,Gold,32
137,Australia,1996,Silver,16
138,Australia,1998,Bronze,1
139,Australia,2000,Bronze,54
140,Australia,2000,Gold,58
141,Australia,2000,Silver,69
142,Australia,2002,Gold,2
143,Australia,2004,Bronze,31
144,Australia,2004,Gold,49
145,Australia,2004,Silver,77
146,Australia,2006,Bronze,1
147,Australia,2006,Gold,1
148,Australia,2008,Bronze,76
149,Australia,2008,Gold,31
150,Australia,2008,Silver,42
151,Australia,2010,Gold,2
152,Australia,2010,Silver,1
153,Australia,2012,Bronze,59
154,Australia,2012,Gold,18
155,Australia,2012,Silver,37
156,Australia,2014,Bronze,1
157,Australia,2014,Silver,2
158,Australia,2016,Bronze,25
159,Australia,2016,Gold,23
160,Australia,2016,Silver,34
161,Australia-1,1996,Bronze,2
162,Australia-1,2000,Gold,2
163,Australia/Great Britain,1896,Bronze,2
164,Austria,1896,Bronze,2
165,Austria,1896,Gold,2
166,Austria,1896,Silver,1
167,Austria,1900,Bronze,3
168,Austria,1900,Silver,3
169,Austria,1904,Bronze,1
170,Austria,1904,Gold,1
171,Austria,1904,Silver,1
172,Austria,1906,Bronze,3
173,Austria,1906,Gold,3
174,Austria,1906,Silver,3
175,Austria,1908,Bronze,1
176,Austria,1912,Bronze,5
177,Austria,1912,Silver,9
178,Austria,1924,Bronze,1
179,Austria,1924,Gold,3
180,Austria,1924,Silver,4
181,Austria,1928,Bronze,2
182,Austria,1928,Gold,3
183,Austria,1928,Silver,2
184,Austria,1932,Bronze,3
185,Austria,1932,Gold,2
186,Austria,1932,Silver,2
187,Austria,1936,Bronze,9
188,Austria,1936,Gold,7
189,Austria,1936,Silver,42
190,Austria,1948,Bronze,8
191,Austria,1948,Gold,3
192,Austria,1948,Silver,5
193,Austria,1952,Bronze,4
194,Austria,1952,Gold,2
195,Austria,1952,Silver,5
196,Austria,1956,Bronze,8
197,Austria,1956,Gold,3
198,Austria,1956,Silver,3
199,Austria,1960,Bronze,3
200,Austria,1960,Gold,2
201,Austria,1960,Silver,4
202,Austria,1964,Bronze,3
203,Austria,1964,Gold,3
204,Austria,1964,Silver,3
205,Austria,1968,Bronze,7
206,Austria,1968,Gold,3
207,Austria,1968,Silver,4
208,Austria,1972,Bronze,4
209,Austria,1972,Gold,1
210,Austria,1972,Silver,3
211,Austria,1976,Bronze,2
212,Austria,1976,Gold,2
213,Austria,1976,Silver,2
214,Austria,1980,Bronze,2
215,Austria,1980,Gold,4
216,Austria,1980,Silver,5
217,Austria,1984,Bronze,2
218,Austria,1984,Gold,1
219,Austria,1984,Silver,1
220,Austria,1988,Bronze,4
221,Austria,1988,Gold,4
222,Austria,1988,Silver,5
223,Austria,1992,Bronze,10
224,Austria,1992,Gold,5
225,Austria,1992,Silver,16
226,Austria,1994,Bronze,7
227,Austria,1994,Gold,2
228,Austria,1994,Silver,3
229,Austria,1996,Bronze,2
230,Austria,1996,Silver,1
231,Austria,1998,Bronze,12
232,Austria,1998,Gold,3
233,Austria,1998,Silver,5
234,Austria,2000,Gold,3
235,Austria,2000,Silver,1
236,Austria,2002,Bronze,13
237,Austria,2002,Gold,3
238,Austria,2002,Silver,4
239,Austria,2004,Bronze,1
240,Austria,2004,Gold,3
241,Austria,2004,Silver,4
242,Austria,2006,Bronze,7
243,Austria,2006,Gold,14
244,Austria,2006,Silver,7
245,Austria,2008,Bronze,2
246,Austria,2008,Silver,1
247,Austria,2010,Bronze,6
248,Austria,2010,Gold,9
249,Austria,2010,Silver,9
250,Austria,2014,Bronze,11
251,Austria,2014,Gold,4
252,Austria,2014,Silver,10
253,Austria,2016,Bronze,2
254,Austria-1,1928,Silver,2
255,Austria-1,1936,Silver,2
256,Austria-1,1956,Gold,2
257,Austria-1,1964,Gold,2
258,Austria-1,1964,Silver,4
259,Austria-1,1968,Silver,6
260,Austria-1,1976,Bronze,2
261,Austria-1,1980,Bronze,2
262,Austria-1,1992,Gold,4
263,Austria-1,2006,Gold,2
264,Austria-1,2010,Gold,2
265,Austria-1,2014,Silver,2
266,Austria-2,1928,Bronze,2
267,Austria-2,1964,Silver,2
268,Azerbaijan,1996,Silver,1
269,Azerbaijan,2000,Bronze,1
270,Azerbaijan,2000,Gold,2
271,Azerbaijan,2004,Bronze,4
272,Azerbaijan,2004,Gold,1
273,Azerbaijan,2008,Bronze,4
274,Azerbaijan,2008,Gold,1
275,Azerbaijan,2008,Silver,2
276,Azerbaijan,2012,Bronze,6
277,Azerbaijan,2012,Gold,2
278,Azerbaijan,2012,Silver,2
279,Azerbaijan,2016,Bronze,10
280,Azerbaijan,2016,Gold,1
281,Azerbaijan,2016,Silver,7
282,"BLO Polo Club, Rugby",1900,Silver,4
283,Baby-1,1900,Bronze,1
284,Baby-1,1900,Gold,1
285,"Bagatelle Polo Club, Paris",1900,Bronze,4
286,Bahamas,1992,Bronze,1
287,Bahamas,1996,Silver,5
288,Bahamas,2000,Bronze,5
289,Bahamas,2000,Gold,6
290,Bahamas,2004,Bronze,1
291,Bahamas,2004,Gold,1
292,Bahamas,2008,Bronze,1
293,Bahamas,2008,Silver,6
294,Bahamas,2012,Gold,4
295,Bahamas,2016,Bronze,5
296,Bahamas,2016,Gold,1
297,Bahrain,2012,Bronze,1
298,Bahrain,2016,Gold,1
299,Bahrain,2016,Silver,1
300,Ballerina IV,1960,Bronze,3
301,Barbados,2000,Bronze,1
302,Barion/Bari-2,1906,Silver,3
303,Barrenjoey,1964,Gold,3
304,Beatrijs III-1,1920,Gold,3
305,Belarus,1994,Silver,2
306,Belarus,1996,Bronze,16
307,Belarus,1996,Gold,1
308,Belarus,1996,Silver,6
309,Belarus,1998,Bronze,2
310,Belarus,2000,Bronze,11
311,Belarus,2000,Gold,3
312,Belarus,2000,Silver,8
313,Belarus,2002,Bronze,1
314,Belarus,2004,Bronze,8
315,Belarus,2004,Gold,2
316,Belarus,2004,Silver,5
317,Belarus,2006,Silver,1
318,Belarus,2008,Bronze,16
319,Belarus,2008,Gold,8
320,Belarus,2008,Silver,5
321,Belarus,2010,Bronze,1
322,Belarus,2010,Gold,1
323,Belarus,2010,Silver,1
324,Belarus,2012,Bronze,8
325,Belarus,2012,Gold,3
326,Belarus,2012,Silver,12
327,Belarus,2014,Bronze,1
328,Belarus,2014,Gold,5
329,Belarus,2016,Bronze,7
330,Belarus,2016,Gold,1
331,Belarus,2016,Silver,4
332,Belgium,1900,Bronze,4
333,Belgium,1900,Gold,5
334,Belgium,1900,Silver,5
335,Belgium,1906,Bronze,6
336,Belgium,1906,Gold,2
337,Belgium,1906,Silver,1
338,Belgium,1908,Bronze,8
339,Belgium,1908,Gold,1
340,Belgium,1908,Silver,12
341,Belgium,1912,Bronze,11
342,Belgium,1912,Gold,7
343,Belgium,1912,Silver,1
344,Belgium,1920,Bronze,61
345,Belgium,1920,Gold,54
346,Belgium,1920,Silver,62
347,Belgium,1924,Bronze,6
348,Belgium,1924,Gold,3
349,Belgium,1924,Silver,30
350,Belgium,1928,Bronze,5
351,Belgium,1928,Silver,1
352,Belgium,1932,Bronze,1
353,Belgium,1936,Bronze,14
354,Belgium,1948,Bronze,8
355,Belgium,1948,Gold,7
356,Belgium,1948,Silver,6
357,Belgium,1952,Gold,5
358,Belgium,1952,Silver,3
359,Belgium,1956,Silver,2
360,Belgium,1960,Bronze,2
361,Belgium,1960,Silver,2
362,Belgium,1964,Bronze,1
363,Belgium,1964,Gold,2
364,Belgium,1968,Bronze,2
365,Belgium,1968,Silver,1
366,Belgium,1972,Silver,2
367,Belgium,1976,Bronze,6
368,Belgium,1976,Silver,3
369,Belgium,1980,Gold,1
370,Belgium,1984,Bronze,2
371,Belgium,1984,Gold,1
372,Belgium,1984,Silver,2
373,Belgium,1988,Bronze,2
374,Belgium,1992,Bronze,2
375,Belgium,1992,Silver,1
376,Belgium,1996,Bronze,2
377,Belgium,1996,Gold,2
378,Belgium,1996,Silver,2
379,Belgium,1998,Bronze,1
380,Belgium,2000,Bronze,4
381,Belgium,2000,Silver,3
382,Belgium,2004,Bronze,2
383,Belgium,2004,Gold,1
384,Belgium,2008,Gold,1
385,Belgium,2008,Silver,4
386,Belgium,2012,Bronze,2
387,Belgium,2012,Silver,1
388,Belgium,2016,Bronze,2
389,Belgium,2016,Gold,2
390,Belgium,2016,Silver,17
391,Belgium-1,1900,Gold,1
392,Belgium-1,1924,Bronze,5
393,Bem II,1936,Bronze,2
394,Bera,1924,Gold,5
395,Berliner Ruderclub,1908,Bronze,2
396,Berliner Ruderverein von 1876-2,1912,Bronze,9
397,Bermuda,1976,Bronze,1
398,Bingo,1964,Bronze,3
399,Bissbi,1932,Gold,4
400,Bluebottle,1956,Bronze,3
401,Bohemia,1900,Bronze,1
402,Bohemia,1900,Silver,1
403,Bohemia,1906,Bronze,3
404,Bohemia,1908,Bronze,6
405,Bohemia/Great Britain,1900,Bronze,2
406,Bona Fide,1900,Gold,3
407,Bonaparte,2008,Gold,1
408,Bonzo,1924,Silver,3
409,Boreas-2,1920,Silver,2
410,Boston Archers,1904,Bronze,4
411,Botswana,2012,Silver,1
412,Brazil,1920,Bronze,5
413,Brazil,1920,Gold,1
414,Brazil,1920,Silver,1
415,Brazil,1948,Bronze,10
416,Brazil,1952,Bronze,2
417,Brazil,1952,Gold,1
418,Brazil,1956,Gold,1
419,Brazil,1960,Bronze,13
420,Brazil,1964,Bronze,12
421,Brazil,1968,Bronze,3
422,Brazil,1968,Silver,1
423,Brazil,1972,Bronze,2
424,Brazil,1976,Bronze,3
425,Brazil,1980,Bronze,5
426,Brazil,1980,Gold,4
427,Brazil,1984,Bronze,2
428,Brazil,1984,Gold,1
429,Brazil,1984,Silver,33
430,Brazil,1988,Bronze,5
431,Brazil,1988,Gold,1
432,Brazil,1988,Silver,17
433,Brazil,1992,Gold,13
434,Brazil,1992,Silver,1
435,Brazil,1996,Bronze,43
436,Brazil,1996,Gold,3
437,Brazil,1996,Silver,13
438,Brazil,2000,Bronze,34
439,Brazil,2000,Silver,8
440,Brazil,2004,Bronze,3
441,Brazil,2004,Gold,16
442,Brazil,2004,Silver,17
443,Brazil,2008,Bronze,28
444,Brazil,2008,Gold,14
445,Brazil,2008,Silver,32
446,Brazil,2012,Bronze,9
447,Brazil,2012,Gold,14
448,Brazil,2012,Silver,32
449,Brazil,2016,Bronze,6
450,Brazil,2016,Gold,34
451,Brazil,2016,Silver,6
452,Brazil-1,1996,Gold,2
453,Brazil-1,2000,Silver,4
454,Brazil-1,2004,Gold,2
455,Brazil-1,2004,Silver,2
456,Brazil-1,2008,Silver,2
457,Brazil-1,2012,Bronze,2
458,Brazil-1,2012,Silver,2
459,Brazil-1,2016,Gold,2
460,Brazil-1,2016,Silver,2
461,Brazil-2,1996,Silver,2
462,Brazil-2,2000,Bronze,2
463,Brazil-2,2008,Bronze,2
464,Brussels Swimming and Water Polo Club,1900,Silver,10
465,Brynhild-2,1900,Silver,1
466,Bucintoro Venezia,1906,Gold,8
467,Bucintoro Venezia-1,1906,Gold,3
468,Bulgaria,1952,Bronze,1
469,Bulgaria,1956,Bronze,14
470,Bulgaria,1956,Gold,1
471,Bulgaria,1956,Silver,3
472,Bulgaria,1960,Bronze,3
473,Bulgaria,1960,Gold,1
474,Bulgaria,1960,Silver,3
475,Bulgaria,1964,Bronze,2
476,Bulgaria,1964,Gold,3
477,Bulgaria,1964,Silver,5
478,Bulgaria,1968,Bronze,3
479,Bulgaria,1968,Gold,2
480,Bulgaria,1968,Silver,21
481,Bulgaria,1972,Bronze,6
482,Bulgaria,1972,Gold,6
483,Bulgaria,1972,Silver,10
484,Bulgaria,1976,Bronze,18
485,Bulgaria,1976,Gold,8
486,Bulgaria,1976,Silver,13
487,Bulgaria,1980,Bronze,39
488,Bulgaria,1980,Gold,8
489,Bulgaria,1980,Silver,44
490,Bulgaria,1988,Bronze,17
491,Bulgaria,1988,Gold,10
492,Bulgaria,1988,Silver,14
493,Bulgaria,1992,Bronze,7
494,Bulgaria,1992,Gold,3
495,Bulgaria,1992,Silver,7
496,Bulgaria,1996,Bronze,6
497,Bulgaria,1996,Gold,3
498,Bulgaria,1996,Silver,12
499,Bulgaria,1998,Gold,1
500,Bulgaria,2000,Bronze,2
501,Bulgaria,2000,Gold,5
502,Bulgaria,2000,Silver,6
503,Bulgaria,2002,Bronze,2
504,Bulgaria,2002,Silver,1
505,Bulgaria,2004,Bronze,14
506,Bulgaria,2004,Gold,2
507,Bulgaria,2004,Silver,1
508,Bulgaria,2006,Silver,1
509,Bulgaria,2008,Bronze,3
510,Bulgaria,2008,Gold,1
511,Bulgaria,2008,Silver,1
512,Bulgaria,2012,Bronze,1
513,Bulgaria,2012,Silver,1
514,Bulgaria,2016,Bronze,6
515,Bulgaria,2016,Silver,1
516,Buraddoo,1956,Bronze,3
517,Burundi,1996,Gold,1
518,Burundi,2016,Silver,1
519,Cambridge University Boat Club-2,1908,Bronze,9
520,Cameroon,1968,Silver,1
521,Cameroon,1984,Bronze,1
522,Cameroon,2000,Gold,18
523,Cameroon,2004,Gold,1
524,Cameroon,2008,Gold,1
525,Camille,1908,Gold,1
526,Canada,1900,Bronze,1
527,Canada,1900,Gold,1
528,Canada,1904,Gold,2
529,Canada,1906,Gold,1
530,Canada,1906,Silver,1
531,Canada,1908,Bronze,15
532,Canada,1908,Gold,14
533,Canada,1908,Silver,8
534,Canada,1912,Bronze,3
535,Canada,1912,Gold,3
536,Canada,1912,Silver,2
537,Canada,1920,Bronze,3
538,Canada,1920,Gold,10
539,Canada,1920,Silver,3
540,Canada,1924,Bronze,1
541,Canada,1924,Gold,9
542,Canada,1924,Silver,19
543,Canada,1928,Bronze,21
544,Canada,1928,Gold,19
545,Canada,1928,Silver,5
546,Canada,1932,Bronze,25
547,Canada,1932,Gold,16
548,Canada,1932,Silver,8
549,Canada,1936,Bronze,9
550,Canada,1936,Gold,1
551,Canada,1936,Silver,25
552,Canada,1948,Bronze,7
553,Canada,1948,Gold,13
554,Canada,1948,Silver,2
555,Canada,1952,Bronze,1
556,Canada,1952,Gold,17
557,Canada,1952,Silver,3
558,Canada,1956,Bronze,23
559,Canada,1956,Gold,5
560,Canada,1956,Silver,9
561,Canada,1960,Bronze,1
562,Canada,1960,Gold,1
563,Canada,1960,Silver,26
564,Canada,1964,Bronze,2
565,Canada,1964,Gold,2
566,Canada,1964,Silver,2
567,Canada,1968,Bronze,22
568,Canada,1968,Gold,4
569,Canada,1968,Silver,4
570,Canada,1972,Bronze,9
571,Canada,1972,Silver,3
572,Canada,1976,Bronze,15
573,Canada,1976,Gold,1
574,Canada,1976,Silver,10
575,Canada,1980,Bronze,1
576,Canada,1980,Silver,1
577,Canada,1984,Bronze,33
578,Canada,1984,Gold,21
579,Canada,1984,Silver,37
580,Canada,1988,Bronze,16
581,Canada,1988,Gold,4
582,Canada,1988,Silver,7
583,Canada,1992,Bronze,13
584,Canada,1992,Gold,32
585,Canada,1992,Silver,33
586,Canada,1994,Bronze,3
587,Canada,1994,Gold,3
588,Canada,1994,Silver,29
589,Canada,1996,Bronze,10
590,Canada,1996,Gold,8
591,Canada,1996,Silver,30
592,Canada,1998,Bronze,7
593,Canada,1998,Gold,12
594,Canada,1998,Silver,28
595,Canada,2000,Bronze,23
596,Canada,2000,Gold,4
597,Canada,2000,Silver,4
598,Canada,2002,Bronze,15
599,Canada,2002,Gold,50
600,Canada,2002,Silver,7
601,Canada,2004,Bronze,4
602,Canada,2004,Gold,3
603,Canada,2004,Silver,10
604,Canada,2006,Bronze,11
605,Canada,2006,Gold,30
606,Canada,2006,Silver,26
607,Canada,2008,Bronze,11
608,Canada,2008,Gold,11
609,Canada,2008,Silver,13
610,Canada,2010,Bronze,4
611,Canada,2010,Gold,63
612,Canada,2010,Silver,13
613,Canada,2012,Bronze,33
614,Canada,2012,Gold,1
615,Canada,2012,Silver,21
616,Canada,2014,Bronze,5
617,Canada,2014,Gold,57
618,Canada,2014,Silver,20
619,Canada,2016,Bronze,61
620,Canada,2016,Gold,4
621,Canada,2016,Silver,4
622,Canada-1,1956,Silver,2
623,Canada-1,1960,Gold,2
624,Canada-1,1964,Gold,4
625,Canada-1,1964,Silver,2
626,Canada-1,1988,Bronze,2
627,Canada-1,1992,Bronze,2
628,Canada-1,1994,Bronze,2
629,Canada-1,1996,Bronze,2
630,Canada-1,1998,Gold,2
631,Canada-1,2002,Gold,2
632,Canada-1,2006,Silver,2
633,Canada-1,2010,Bronze,4
634,Canada-1,2010,Gold,4
635,Canada-1,2014,Gold,2
636,Canada-1,2014,Silver,2
637,Canada-2,2010,Silver,2
638,Caprice,1932,Bronze,4
639,Carabinier-15,1900,Gold,1
640,"Central Turnverein, Chicago",1904,Bronze,6
641,Century Boat Club-1,1904,Gold,4
642,Cercle de l'Aviron Roubaix-4,1900,Gold,5
643,Chicago Athletic Association,1904,Silver,5
644,Chicago Athletic Association-2,1904,Silver,11
645,Chile,1928,Silver,1
646,Chile,1952,Silver,4
647,Chile,1956,Bronze,2
648,Chile,1956,Silver,2
649,Chile,1988,Silver,1
650,Chile,2000,Bronze,17
651,Chile,2004,Bronze,1
652,Chile,2004,Gold,3
653,Chile,2008,Silver,1
654,China,1984,Bronze,37
655,China,1984,Gold,24
656,China,1984,Silver,13
657,China,1988,Bronze,30
658,China,1988,Gold,4
659,China,1988,Silver,16
660,China,1992,Bronze,15
661,China,1992,Gold,14
662,China,1992,Silver,44
663,China,1994,Bronze,2
664,China,1994,Silver,1
665,China,1996,Bronze,15
666,China,1996,Gold,13
667,China,1996,Silver,66
668,China,1998,Bronze,5
669,China,1998,Silver,9
670,China,2000,Bronze,15
671,China,2000,Gold,31
672,China,2000,Silver,19
673,China,2002,Bronze,7
674,China,2002,Gold,2
675,China,2002,Silver,5
676,China,2004,Bronze,13
677,China,2004,Gold,42
678,China,2004,Silver,27
679,China,2006,Bronze,4
680,China,2006,Gold,2
681,China,2006,Silver,3
682,China,2008,Bronze,49
683,China,2008,Gold,72
684,China,2008,Silver,49
685,China,2010,Bronze,7
686,China,2010,Gold,7
687,China,2010,Silver,1
688,China,2012,Bronze,29
689,China,2012,Gold,50
690,China,2012,Silver,38
691,China,2014,Bronze,5
692,China,2014,Gold,3
693,China,2014,Silver,4
694,China,2016,Bronze,35
695,China,2016,Gold,44
696,China,2016,Silver,30
697,China-1,1988,Gold,2
698,China-1,1992,Gold,2
699,China-1,1992,Silver,4
700,China-1,1996,Gold,2
701,China-1,1996,Silver,2
702,China-1,2000,Bronze,2
703,China-1,2000,Gold,2
704,China-1,2000,Silver,2
705,China-1,2002,Bronze,2
706,China-1,2004,Gold,8
707,China-1,2006,Silver,2
708,China-1,2008,Bronze,4
709,China-1,2008,Gold,2
710,China-1,2008,Silver,4
711,China-1,2010,Gold,2
712,China-1,2012,Gold,6
713,China-1,2016,Bronze,2
714,China-1,2016,Gold,2
715,China-2,1992,Bronze,4
716,China-2,1992,Gold,2
717,China-2,1996,Bronze,2
718,China-2,1996,Gold,4
719,China-2,1996,Silver,2
720,China-2,2000,Gold,6
721,China-2,2000,Silver,2
722,China-2,2004,Bronze,2
723,China-2,2004,Gold,2
724,China-2,2008,Bronze,4
725,China-2,2010,Silver,2
726,China-2,2012,Silver,2
727,China-3,2006,Bronze,2
728,Chinese Taipei,1960,Silver,1
729,Chinese Taipei,1968,Bronze,1
730,Chinese Taipei,1984,Bronze,1
731,Chinese Taipei,1992,Silver,20
732,Chinese Taipei,1996,Silver,1
733,Chinese Taipei,2000,Bronze,4
734,Chinese Taipei,2000,Silver,1
735,Chinese Taipei,2004,Bronze,3
736,Chinese Taipei,2004,Gold,2
737,Chinese Taipei,2004,Silver,4
738,Chinese Taipei,2008,Bronze,4
739,Chinese Taipei,2012,Bronze,1
740,Chinese Taipei,2012,Silver,1
741,Chinese Taipei,2016,Bronze,4
742,Chinese Taipei,2016,Gold,1
743,Christian Brothers' College-1,1904,Silver,11
744,Chuckles,1956,Bronze,2
745,Cicely-1,1900,Gold,1
746,Cincinnati Archers,1904,Gold,4
747,Cincinnati Archers,1904,Silver,4
748,Clearwater,2008,Bronze,1
749,Club Nautique de Lyon-2,1900,Silver,4
750,Cobweb-1,1908,Gold,5
751,Colombia,1972,Bronze,2
752,Colombia,1972,Silver,1
753,Colombia,1984,Silver,1
754,Colombia,1988,Bronze,1
755,Colombia,1992,Bronze,1
756,Colombia,2000,Gold,1
757,Colombia,2004,Bronze,2
758,Colombia,2008,Bronze,1
759,Colombia,2008,Silver,1
760,Colombia,2012,Bronze,4
761,Colombia,2012,Gold,1
762,Colombia,2012,Silver,3
763,Colombia,2016,Bronze,3
764,Colombia,2016,Gold,3
765,Colombia,2016,Silver,2
766,Comanche,1952,Silver,2
767,Complex II,1952,Gold,4
768,Cornwall,1908,Silver,15
769,Costa Rica,1988,Silver,1
770,Costa Rica,1996,Gold,1
771,Costa Rica,2000,Bronze,2
772,Cote d'Ivoire,1984,Silver,1
773,Cote d'Ivoire,2016,Bronze,1
774,Cote d'Ivoire,2016,Gold,1
775,Crabe II-1,1900,Silver,5
776,Crabe II-4,1900,Bronze,5
777,Croatia,1992,Bronze,3
778,Croatia,1992,Silver,12
779,Croatia,1996,Gold,16
780,Croatia,1996,Silver,12
781,Croatia,2000,Bronze,9
782,Croatia,2000,Gold,1
783,Croatia,2002,Gold,3
784,Croatia,2002,Silver,1
785,Croatia,2004,Bronze,3
786,Croatia,2004,Gold,15
787,Croatia,2004,Silver,3
788,Croatia,2006,Gold,1
789,Croatia,2006,Silver,2
790,Croatia,2008,Bronze,3
791,Croatia,2008,Silver,2
792,Croatia,2010,Bronze,1
793,Croatia,2010,Silver,2
794,Croatia,2012,Bronze,16
795,Croatia,2012,Gold,15
796,Croatia,2012,Silver,4
797,Croatia,2014,Silver,1
798,Croatia,2016,Bronze,2
799,Croatia,2016,Gold,7
800,Croatia,2016,Silver,15
801,Cuba,1900,Gold,1
802,Cuba,1900,Silver,1
803,Cuba,1904,Gold,5
804,Cuba,1964,Silver,1
805,Cuba,1968,Silver,10
806,Cuba,1972,Bronze,18
807,Cuba,1972,Gold,3
808,Cuba,1972,Silver,1
809,Cuba,1976,Bronze,14
810,Cuba,1976,Gold,6
811,Cuba,1976,Silver,4
812,Cuba,1980,Bronze,5
813,Cuba,1980,Gold,8
814,Cuba,1980,Silver,7
815,Cuba,1992,Bronze,14
816,Cuba,1992,Gold,42
817,Cuba,1992,Silver,13
818,Cuba,1996,Bronze,10
819,Cuba,1996,Gold,37
820,Cuba,1996,Silver,8
821,Cuba,2000,Bronze,12
822,Cuba,2000,Gold,18
823,Cuba,2000,Silver,35
824,Cuba,2004,Bronze,22
825,Cuba,2004,Gold,32
826,Cuba,2004,Silver,8
827,Cuba,2008,Bronze,11
828,Cuba,2008,Gold,2
829,Cuba,2008,Silver,34
830,Cuba,2012,Bronze,6
831,Cuba,2012,Gold,5
832,Cuba,2012,Silver,3
833,Cuba,2016,Bronze,4
834,Cuba,2016,Gold,5
835,Cuba,2016,Silver,2
836,Cyprus,2012,Silver,1
837,Czech Republic,1996,Bronze,4
838,Czech Republic,1996,Gold,4
839,Czech Republic,1996,Silver,3
840,Czech Republic,1998,Bronze,1
841,Czech Republic,1998,Gold,21
842,Czech Republic,1998,Silver,1
843,Czech Republic,2000,Bronze,2
844,Czech Republic,2000,Gold,2
