,Name,Sex,Team,Sport,Medal,Medal_Count
245,Aleksandr Stanislavovich Kolotov,M,Soviet Union,Water Polo,Bronze,1
246,Aleksandr Stanislavovich Kolotov,M,Unified Team,Water Polo,Bronze,1
247,Aleksandr Timofeyevich Aksinin,M,Soviet Union,Athletics,Bronze,1
248,Aleksandr Timofeyevich Prokopenko,M,Soviet Union,Football,Bronze,1
249,Aleksandr Valentinovich Mozhayev,M,Soviet Union,Fencing,Bronze,1
250,Aleksandr Valeryevich Gorbatikov,M,Russia,Handball,Bronze,1
251,Aleksandr Vasilyevich Gazov,M,Soviet Union,Shooting,Bronze,1
252,Aleksandr Vasilyevich Privalov,M,Soviet Union,Biathlon,Bronze,1
253,Aleksandr Vasilyevich Samsonov,M,Soviet Union,Swimming,Bronze,1
254,Aleksandr Veniaminovich Abushakhmetov,M,Soviet Union,Fencing,Bronze,1
255,"Aleksandr Viktorovich ""Alex"" Miroshnichenko",M,Soviet Union,Boxing,Bronze,1
256,Aleksandr Viktorovich Kolobnev,M,Russia,Cycling,Bronze,1
257,Aleksandr Viktorovich Kostoglod,M,Russia,Canoeing,Bronze,1
258,Aleksandr Viktorovich Lukyanov,M,Russia,Rowing,Bronze,1
259,Aleksandr Vladimirovich Korneyev,M,Russia,Volleyball,Bronze,1
260,Aleksandr Vladimirovich Kovalyov,M,Russia,Canoeing,Bronze,1
261,Aleksandr Vladimirovich Tretyakov,M,Russia,Skeleton,Bronze,1
262,Aleksandr Vladimirovich Tretyakov,M,Russia,Wrestling,Bronze,1
263,"Aleksandr Vyacheslavovich ""Sasha"" Zhulin",M,Unified Team-2,Figure Skating,Bronze,1
264,Aleksandr Vyacheslavovich Ogorodnikov,M,Unified Team,Water Polo,Bronze,1
265,Aleksandr Yuryevich Kovalenko,M,Soviet Union,Athletics,Bronze,1
266,Aleksandr Yuryevich Zubkov,M,Russia-1,Bobsleigh,Bronze,1
267,Aleksandra Aleksandrovna Leonova (-Rzhevskaya),F,Soviet Union,Basketball,Bronze,1
268,Aleksandra Crvendaki,F,Serbia,Basketball,Bronze,1
269,Aleksandra Georgiyevna Chudina,F,Soviet Union,Athletics,Bronze,1
270,Aleksandra Ivoev,F,Serbia and Montenegro,Shooting,Bronze,1
271,Aleksandra Viktorovna Gerasimenya,F,Belarus,Swimming,Bronze,1
272,Aleksandra Yuryevna Pankina,F,Belarus,Rowing,Bronze,1
273,Aleksandras Kazakeviius,M,Lithuania,Wrestling,Bronze,1
274,Aleksandre Chivadze,M,Soviet Union,Football,Bronze,1
275,Aleksandrs Jackvis,M,Soviet Union,Judo,Bronze,1
276,Aleksanteri Saarvala (Schabarin-),M,Finland,Gymnastics,Bronze,1
277,Aleksei Budlin,M,Estonia,Judo,Bronze,1
278,Aleksey Aleksandrovich Alipov,M,Russia,Shooting,Bronze,1
279,Aleksey Aleksandrovich Ostapenko,M,Russia,Volleyball,Bronze,1
280,Aleksey Aleksandrovich Petrov,M,Russia,Weightlifting,Bronze,1
281,Aleksey Alekseyevich Denisenko,M,Russia,Taekwondo,Bronze,1
282,Aleksey Andreyevich Yakimenko,M,Russia,Fencing,Bronze,1
283,Aleksey Gennadyevich Grishin,M,Belarus,Freestyle Skiing,Bronze,1
284,Aleksey Igorevich Korovashkov,M,Russia,Canoeing,Bronze,1
285,Aleksey Igoryevich Verbov,M,Russia,Volleyball,Bronze,2
286,Aleksey Ivanovich Kuznetsov,M,Soviet Union,Cross Country Skiing,Bronze,1
287,Aleksey Ivanovich Voyevoda,M,Russia-1,Bobsleigh,Bronze,1
288,Aleksey Mikhaylovich Markov,M,Russia,Cycling,Bronze,2
289,Aleksey Nikolayevich Voyevodin,M,Russia,Athletics,Bronze,1
290,Aleksey Petrovich Aydarov,M,Belarus,Biathlon,Bronze,1
291,Aleksey Petrovich Bondarenko,M,Russia,Gymnastics,Bronze,1
292,Aleksey Petrovich Rastvortsev,M,Russia,Handball,Bronze,1
293,Aleksey Stepanovich Petrov,M,Soviet Union,Cycling,Bronze,1
294,Aleksey Valeryevich Kazakov,M,Russia,Volleyball,Bronze,1
295,Aleksey Valeryevich Yashin,M,Russia,Ice Hockey,Bronze,1
296,Aleksey Veniaminovich Kostygov,M,Russia,Handball,Bronze,1
297,Aleksey Viktorovich Shved,M,Russia,Basketball,Bronze,1
298,Aleksey Vladimirovich Dyachenko,M,Russia,Fencing,Bronze,1
299,Aleksey Vladimirovich Kuleshov,M,Russia,Volleyball,Bronze,2
300,Aleksey Vladimirovich Lyozin,M,Russia,Boxing,Bronze,1
301,Aleksey Vladimirovich Vdovin,M,Unified Team,Water Polo,Bronze,1
302,Aleksey Vyacheslavovich Kovalyov,M,Russia,Ice Hockey,Bronze,1
303,Aleksey Yevgenyevich Petukhov,M,Russia,Cross Country Skiing,Bronze,1
304,Aleksey Yuryevich Glushkov,M,Russia,Wrestling,Bronze,1
305,Aleksey Yuryevich Nemov,M,Russia,Gymnastics,Bronze,6
306,Aleksey Yuryevich Zhamnov,M,Russia,Ice Hockey,Bronze,1
307,Aleksy Antkiewicz,M,Poland,Boxing,Bronze,1
308,Alena Chadimov (-Daniov),F,Czechoslovakia,Gymnastics,Bronze,1
